feature,importance
blur_score,0.4975412821424991
blur_squared,0.4293156499936486
overall_image_quality,0.3477219838979213
contrast_score,0.3049285834702663
contrast_squared,0.1973793003798947
ocr_squared,0.16221299920209667
num_pages_fake,0.13019116013363194
blur_ocr_interaction,0.07773835644522287
is_low_contrast,0.06910747405866577
is_high_risk_ocr,0.0645465027331761
ocr_confidence,0.0597351400173731
is_low_blur,0.05932606114379451
ocr_blur_product,0.05521735237503753
is_critical_low_blur,0.046118135830489584
is_multipage_low_quality,0.042974064151161125
is_medium_ocr,0.04074045741858188
blur_contrast_ratio,0.03127935643816153
is_high_ocr,0.020725620683081397
is_excellent_blur,0.02019984369761725
is_multipage,0.014087883933681778
is_low_ocr,0.0016148980811332746
